State_s,V_Hit_i,DC_will_evict_i,VC_needs_2_evict_i,EB_V_i,we_i,NState_ns,WR_2_EB_o,CLR_D_SWAP_V_o,Read_DSWAP_o,Write_VSWAP_o,Update_LRU_o,busy_o,blocked_o
IDLE,0,0,x,x,x,IDLE,0,0,0,0,0,0,0
IDLE,1,x,x,x,0,WRITE_2_VCACHE,0,0,0,1,0,0,0
IDLE,1,x,x,x,1,LD_VC_SWAP,0,0,0,0,0,0,0
IDLE,0,1,0,0,x,WRITE_2_VCACHE,0,0,0,0,0,0,0
IDLE,0,1,0,1,x,WRITE_2_VCACHE,0,0,0,0,0,0,0
IDLE,0,1,1,0,x,WRITE_EB,0,0,0,0,0,0,0
IDLE,0,1,1,1,x,WAITEVICT,0,0,0,0,0,0,0
LD_VC_SWAP,x,x,x,x,x,WRITE_2_VCACHE,0,0,0,1,0,1,0
WRITE_2_VCACHE,x,x,x,x,x,IDLE,0,1,1,0,1,1,0
WRITE_EB,x,x,x,x,x,WRITE_2_VCACHE,1,0,0,0,0,1,0
WAITEVICT,x,x,x,1,x,WAITEVICT,1,0,0,0,0,1,1
WAITEVICT,x,x,x,0,x,WRITE_2_VCACHE,1,0,0,0,0,1,0
